항공사,출발지공항,스케줄타임
대한항공,괌,202403100915
대한항공,우한,202403100915
대한항공,시안,202403100920
대한항공,옌지(연길),202403100925
대한항공,보스턴,202403100930
대한항공,애틀랜타,202403100935
대한항공,디트로이트,202403100935
대한항공,괌,202403100935
대한항공,타이베이,202403100940
대한항공,싱가포르,202403100950
대한항공,도쿄/나리타,202403100955
대한항공,뉴욕/존에프케네디,202403101000
대한항공,삿포로,202403101005
대한항공,샤먼,202403101005
대한항공,오키나와,202403101010
대한항공,워싱턴,202403101015
대한항공,톈진,202403101015
대한항공,호찌민,202403101015
대한항공,토론토,202403101020
대한항공,난징,202403101030
대한항공,나고야,202403101035
대한항공,하노이,202403101035
대한항공,홍콩,202403101040
대한항공,시카고/오헤어,202403101040
대한항공,하이커우,202403101045
대한항공,다낭,202403101045
대한항공,오사카/ 간사이,202403101050
대한항공,런던/히드로,202403101055
대한항공,후쿠오카,202403101105
대한항공,가고시마,202403101105
대한항공,쿠알라룸푸르,202403101105
대한항공,암스테르담,202403101110
대한항공,다낭,202403101110
대한항공,베이징/서우두,202403101110
대한항공,상하이/푸동,202403101110
대한항공,프랑크푸르트,202403101130
대한항공,덴파사르,202403101135
대한항공,파리/샤를드골,202403101145
대한항공,옌타이,202403101155
대한항공,칭다오,202403101200
대한항공,비엔나,202403101205
대한항공,파리/샤를드골,202403101210
대한항공,밀라노,202403101210
대한항공,가오슝,202403101215
대한항공,상하이/푸동,202403101215
대한항공,델리,202403101220
대한항공,타이베이,202403101225
대한항공,두바이,202403101245
대한항공,마드리드,202403101245
대한항공,다롄(대련),202403101250
대한항공,삿포로,202403101255
대한항공,상하이/푸동,202403101255
대한항공,칭다오,202403101305
대한항공,후쿠오카,202403101310
대한항공,칭다오,202403101315
대한항공,신 울란바토르,202403101320
대한항공,카트만두,202403101325
대한항공,도쿄/나리타,202403101335
대한항공,이스탄불,202403101345
대한항공,웨이하이,202403101400
대한항공,로마,202403101405
대한항공,김해,202403101415
대한항공,시안,202403101420
대한항공,로스앤젤레스,202403101430
대한항공,선양(심양),202403101430
대한항공,상하이/푸동,202403101430
대한항공,자카르타/수카르노하타,202403101505
대한항공,오사카/ 간사이,202403101510
대한항공,푸꾸옥,202403101545
대한항공,쿤밍,202403101545
대한항공,시애틀,202403101600
대한항공,샌프란시스코,202403101600
대한항공,타이베이,202403101615
대한항공,덴파사르,202403101620
대한항공,상하이/푸동,202403101620
대한항공,호찌민,202403101635
